a,一個
comparison,比較
inch,英寸
centers,中心
lab,實驗室
eu,歐盟
damage,損傷
viewed,看
recipes,食譜
follows,遵循
truth,真理
counter,計數器
snow,雪
sorry,不好意思
attack,攻擊
produce,生產
failure,失敗
gamma,伽馬
moved,搬
camp,營地
williams,威廉姆斯
films,電影
minnesota,明尼蘇達州
native,本地
fill,填補
jesus,耶穌
bridge,橋
wa,窪
lcd,液晶顯示器
chart,圖表
approval,批准
movement,運動
draft,草案
des,德斯
dollar,美元
weekend,週末
printing,印刷
automatically,自然而然
played,玩過
baseball,棒球
clubs,梅花
equal,平等
jackson,傑克遜
readers,讀者
contacts,接觸
ontario,安大略省
cc,抄送
adventure,奇遇
owned,擁有
variable,變數
institutions,機構
matching,匹配
posters,海報
advertisement,廣告
dj,DJ
offering,提供
leaders,領導人
yesterday,昨天
ave,大道
profit,利潤
shirts,襯衫
parking,停車
compared,比較
assistant,助理
kinds,種
gone,逝
teams,團隊
expect,期望
determined,確定
statements,語句
completely,完全
headlines,標題
wholesale,批發
workshop,車間
extension,外延
russia,俄羅斯
codes,代碼
golden,金
seattle,西雅圖
forces,力量
returned,返回
wi,無線
gene,基因
portable,便攜式
turned,轉身
applicable,適用
electrical,電氣
brother,哥哥
tried,試
funny,有趣
hentai,無盡
sponsor,贊助者
named,叫
boat,船
earlier,早些時候
manufacturers,廠家
cm,釐米
theatre,劇院
classical,古典
ct,電腦斷層掃描
icon,圖示
warranty,保證
dedicated,耿耿
senate,參議院
disc,碟片
lighting,照明
fort,堡
pattern,模式
laser,鐳射
harry,哈利
indiana,印第安那州
objects,物件
nuclear,核
basketball,籃球
delete,刪除
brain,腦
direction,方向
ends,結束
cast,投
wisconsin,威斯康星州
taxes,稅
issued,發出
dream,夢
signal,信號
identified,確定
obtained,獲得
personnel,人員
felt,氈
supplied,提供
da,大
false,假
flower,花
sexual,性的
evening,傍晚
passed,通過
mouse,鼠
criminal,刑事
powerful,強
assembly,集會
opinions,意見
stated,陳述
promote,促進
advantage,優勢
pic,圖片
carry,抬
hawaii,夏威夷
decided,決定
falls,瀑布
hr,人力資源
designs,設計
maintain,保持
newsletters,通訊
adults,成年人
soul,靈魂
hello,你好
nj,新澤西州
tourism,旅遊
appears,出現
covers,涵蓋
aids,愛滋病
clips,剪輯
graphic,圖形
priority,優先權
stats,統計
professionals,專業人士
flag,旗
iv,四
savings,儲蓄
anonymous,匿名
winning,優勝
estimated,估計
payments,付款
eight,八
binding,捆綁
dakota,達科他語
prepared,準備
served,已送達
wants,想
dining,餐飲
straight,直
iron,鐵
script,腳本
void,無效
installed,安裝
atlanta,亞特蘭大
mix,混合
alert,警報
miscellaneous,雜項
integration,集成
atom,原子
interview,面試
disk,磁碟
rw,烏爾曼
framework,框架
tag,標記
brief,短
ended,結束
queen,女王
hong,紅
desk,書桌
sweet,甜
associate,副
pubmed,發佈
credits,學分
du,都
handle,處理
changing,改變
fix,修復
criteria,標準
ne,網
behavior,行為
clearly,清楚
massachusetts,麻薩諸塞州
vice,副
vhs,VHS
looked,看
discussions,討論
votes,票
bear,熊
measure,量
revenue,收入
enlarge,擴大
duty,責任
truck,卡車
ray,射線
frequently,經常
dave,戴夫
diego,迭戈
maryland,馬里蘭
gain,獲得
knew,知道
spa,礦泉
eligible,資格
train,火車
logged,登錄
nearly,近
whatever,無論什麼
concept,概念
festival,節日
laboratory,實驗室
handling,處理
signs,招牌
iowa,愛荷華州
experts,專家
depth,深度
checkout,收款處
gaming,賭博
vintage,老式
dry,干
exactly,完全
lack,缺乏
ocean,海洋
origin,起源
explore,探討
flights,航班
laptop,筆記本
forgot,忘記
reality,現實
feeds,飼料
faster,更快
broken,破碎
followed,跟著
residential,住宅
speak,說
anime,動漫
scotland,蘇格蘭
destination,目的地
con,缺點
bought,買
specifications,規格
frank,弗蘭克
alaska,阿拉斯加州
clip,夾
tripadvisor,貓途鷹
partnership,合作關係
route,路線
industries,行業
protocol,協定
battle,戰鬥
decisions,決定
query,查詢
blow,吹
billion,十億
ups,UPS
zoom,縮放
dallas,達拉斯
intelligence,情報
nations,國家
expression,表達
speech,演講
bytes,位元組
principles,原則
spam,垃圾郵件
wire,線
equity,公平
shared,共用
nt,新臺幣
editorial,社論
tape,磁帶
strategic,戰略的
replacement,更換
judge,法官
suggestions,建議
rural,農村
acid,酸
sounds,聽起來
height,高度
apartment,公寓
economics,經濟學
speaker,議長
fight,戰鬥
cent,分
zero,零
compatible,相容
forced,強迫
null,零
provisions,規定
obtain,獲得
netherlands,荷蘭
gb,國標
consulting,顧問資格的
designer,設計師
springs,彈簧
recreation,娛樂
failed,失敗
austin,奧斯丁
remain,保持
negative,陰性
leads,導致
pr,公關
fr,法文
bc,西元前
bath,浴
favorites,我的最愛
secret,秘密
marriage,婚
korea,韓國
filed,提交
toronto,多倫多
roll,輥
banks,銀行
managed,管理
offices,辦事處
theater,劇院
aa,機管局
kelly,凱利
participants,參與者
injury,損傷
married,已婚
assets,資產
lawyer,律師
ministry,部
missouri,密蘇里州
drivers,司機
healthy,健康
protected,保護
portal,門戶
proposal,建議
font,字體
joseph,約瑟夫
translation,譯本
perform,執行
andrew,安德魯
figures,數位
mt,山
sharing,共用
waiting,等待
officials,官員
philadelphia,費城
estimates,估計
brian,布萊恩
birthday,生日
var,變數
gratis,免費
fail,失敗
banking,銀行業
beta,試用版
slightly,稍
conduct,進行
serving,服務
miami,邁阿密
parameters,參數
controls,控制
contained,包含
won,贏得
postal,郵政
legislation,立法
lingerie,內衣
matters,問題
wales,威爾士
toward,朝
combined,組合的
relationships,關係
breaking,打破
doc,。.doc
profiles,配置檔
calling,叫
wear,穿
comics,漫畫
tennessee,田納西州
bags,袋
assist,協助
ultimate,最終
jazz,爵士樂
shemale,
houses,房子
representative,代表
departments,部門
frequency,頻率
introduced,介紹
finish,完成
noted,著名的
samples,樣品
forecast,預測
removed,刪除
daniel,丹尼爾
amounts,金額
row,排
physics,物理
mom,媽媽
reduced,減少
reviewed,檢討
oz,奧茲
rare,罕見
administrator,管理員
displayed,顯示
spent,花
contain,包含
residents,居民
bars,酒吧
extreme,極端
performed,執行
helps,説明
cycle,週期
davis,大衛斯
singles,單打
minor,次要
usd,美元
mg,毫克
brazil,巴西
bird,鳥
creation,創造
sleep,睡
accuracy,準確性
rise,上升
scene,現場
violence,暴力
addresses,位址
pharmacy,藥房
chairman,主席
writer,作家
hunter,獵人
speakers,揚聲器
fans,球迷
crystal,晶體
drink,喝
academy,學院
gender,性
permanent,永久
eat,吃
dynamic,動態
famous,著名
static,靜態的
agriculture,農業
lady,女士
oklahoma,奧克拉何馬州
dual,對偶
cleaning,清洗
practical,實際
dell,山谷
delivered,交付
collectibles,收藏品
portfolio,投資組合
utilities,公用事業
intel,英特爾
aim,目的
seat,座位
infrastructure,基礎設施
vendor,供應商
philosophy,哲學
reduction,減少
bids,出價
concerns,關注
exclusive,獨家
toll,收費
recording,錄音
regions,地區
junior,初級
nutrition,營養
referred,述
colour,顏色
supports,支援
originally,原來
les,萊斯
constitutes,構成
regulation,調節
officers,人員
ticket,票
henry,亨利
meaning,意義
prevention,預防
math,數學
rings,環
cape,角
wonderful,美妙
ladies,女士們
mine,礦山
ann,安
secondary,二次
soccer,足球
agreed,同意
ski,滑雪
instant,瞬間
automatic,自動
ch,通道
posting,張貼
increasing,增加
tip,提示
presence,存在
maintained,保持
announced,宣佈
viewing,查看
import,進口
guess,猜
whom,誰
mentioned,提到
healthcare,醫療
dan,擔
directors,董事
scheme,方案
participation,參與
ahead,提前
austria,奧地利
connected,連接
dogs,狗
matrix,矩陣
sd,標清
combination,組合
fly,飛
guaranteed,保證
moon,月亮
degrees,度
utility,效用
devel,德維爾
majority,大多數
strength,強度
preview,預覽
turkey,土耳其
libraries,圖書館
despite,儘管
proper,適當
amendment,修正案
containing,含
aspects,方面
manner,方式
christ,基督
distributed,分散式
previously,以前
rs,RS
singapore,新加坡
daughter,女兒
kept,保持
specials,特價
delta,三角洲
seeking,尋求
bookmark,書籤
cruise,巡航
convention,公約
fear,恐懼
phoenix,鳳凰
wars,戰爭
buildings,建築物
alpha,阿爾法
standing,站
comfort,安慰
ordering,訂購
inches,英寸
enterprises,企業
hey,嘿
certification,認證
colors,顏色
principal,主要
bonus,獎金
shares,股票
appeal,上訴
cisco,思科
voyeur,
adobe,土坯
smoking,吸煙
dealer,販子
panasonic,松下
rom,。.rom
trees,樹
subscription,訂閱
disney,迪士尼
arms,武器
household,家庭
beat,打
becomes,成為
tea,茶
drives,驅動器
utah,猶他州
dress,連衣裙
sky,天空
improved,改進
batteries,電池
positions,位置
avg,平均
bbc,英國廣播公司
achieve,實現
hide,隱藏
carried,進行
happen,發生
exposure,暴露
nearby,附近
contemporary,同時代
alabama,阿拉巴馬州
caused,造成
certainly,當然
luxury,豪華
newspaper,報紙
frames,框架
printed,印刷
faqs,常見問題
signature,簽名
viagra,偉哥
permalink,永久連結
outdoors,戶外
slow,慢
indeed,事實上
toy,玩具
printers,印表機
trademark,商標
provision,準備
miller,磨坊主
gambling,賭博
refer,指
circuit,電路
nine,九
clothes,衣服
layer,層
hip,六。
babes,寶貝
removal,免職
src,來源
liability,責任
easier,容易
spot,點
relative,相對
adding,添加
eric,埃裡克
trackback,引用
taylor,泰勒
amazing,了不起
grow,成長
spend,花費
dot,點
kentucky,肯塔基州
mostly,主要
factory,廠
identity,身份
conversion,轉換
clock,時鐘
relief,救濟
suites,套房
hidden,隱藏
optical,光學的
feeling,感覺
reasonable,合理
americans,美國人
interior,內部
promotion,晉升
revised,修訂
victoria,維多利亞
prints,指紋
serial,串行
hiv,愛滋病毒
webmaster,網站管理員
pda,帕迪亞
dna,去氧核糖核酸
bedroom,臥室
revision,校訂
tennis,網球
copies,副本
permit,許可證
ratio,率
instance,實例
prescription,處方
broadband,寬頻
dsl,DSL
empty,空
planet,行星
rain,雨
recipe,食譜
proof,證明
bass,低音
diff,差異
onto,到
ride,騎
hole,洞
pets,寵物
influence,影響
seeing,看到
zum,祖姆
importance,重要性
orlando,奧蘭多
licensed,許可
parks,公園
tim,提姆
maine,緬因州
yeah,是的
runs,運行
bureau,局
pieces,件
recorded,記錄
ideal,理想
conservation,保護
represent,代表
stress,強調
don,唐
ss,黨衛軍
dinner,晚餐
lawyers,律師
sql,。.sql
specs,規格
pair,雙
discover,發現
trends,趨勢
sydney,悉尼
cream,奶油
finished,完成
patterns,模式
ap,美聯社
boxes,盒
louisiana,路易士安那州
specifically,具體說來
sexo,西索
javascript,JavaScript
shape,形狀
firms,公司
nm,納米
structures,結構
hills,山
evolution,演化
marketplace,市場
advisor,顧問
fourth,第四
objectives,目標
irish,愛爾蘭語
nd,德·
certificates,證書
op,操作
greatest,最大
acc,行政協調會
remains,仍然
suggested,建議
mn,錳
gps,全球定位系統
aware,意識到的
encyclopedia,百科全書
concerned,關心
stations,站
generic,通用
euro,歐元
evil,邪
wilson,威爾遜
operator,算子
continuing,繼續
interracial,異族
census,人口普查
ink,墨
cap,帽
usage,用法
charts,圖表
mixed,混合
tracking,跟蹤
dick,迪克
peak,峰
salt,鹽
competitive,競爭
lights,燈
exist,存在
receiving,接收
keeping,仍
attempt,嘗試
matches,比賽
wheel,輪子
transit,通過
angel,天使
accordance,符合
width,寬度
compact,緊湊的
suppliers,供應商
tn,田納西州
poetry,詩歌
bell,鐘
preparation,製備
array,陣列
greek,希臘語
discussed,討論
noise,雜訊
playstation,遊戲機
accurate,準確
elizabeth,伊莉莎白
raw,。.raw
newest,最新
walking,走
engines,發動機
alcohol,酒精
differences,差異
pin,針
reservations,保留
smaller,較小
extent,程度
climate,氣候
expressed,表示
forget,忘記
jeff,傑夫
sister,姐姐
establish,建立
explain,解釋
stephen,斯蒂芬
gnu,角馬
instruction,指令
annotation,註解
managing,管理
happened,發生
sharp,鋒利
employer,雇主
modules,模組
ben,本
paragraph,段
export,出口
compensation,補償
managers,經理
aol,AOL
aircraft,飛機
sweden,瑞典
percentage,百分比
occur,發生
ce,西元
conflict,衝突
lesbians,女同志
kill,殺
lane,車道
mathematics,數學
conducted,進行
knows,知道
describe,描述
concern,關注
connecticut,康涅狄格州
requested,要求
backup,備份
citizens,公民
heritage,遺產
versions,版本
mississippi,密西西比州
immediate,立即的
cook,煮
jordan,約旦
specialist,專家
directed,指示
virgin,童
trouble,麻煩
ages,年齡
expand,擴大
collections,收集
participate,參與
audience,觀眾
holding,佔有
coach,長途汽車
assigned,分配
spread,傳播
searching,搜索
kevin,凱文
personals,交友
raised,提出
institution,機構
hat,帽子
sporting,體育
agricultural,農業
affect,影響
dealers,轉銷商
supporting,配套
investigation,調查
experienced,經歷
plug,插頭
experiences,經驗
helping,説明
affected,影響
lib,自由
bike,自行車
totally,完全
utc,ttB
indicate,表明
ab,血型
der,德爾
expenses,費用
transmission,傳輸
perl,佩爾
characteristics,特性
organic,有機
plate,盤子
extremely,非常
diseases,疾病
hosted,託管
albums,專輯
anderson,安德森
guests,客人
lose,失去
seek,尋求
favourite,喜歡
cheats,欺騙
blonde,金髮
contracts,合同
verzeichnis,Verzeichnis
proceedings,論文集
chemistry,化學
nevada,內華達州
advisory,諮詢
circle,圈
continues,繼續
anyway,無論如何
equivalent,等效
soil,土
agenda,議程
template,範本
curriculum,課程
cam,凸輪
variables,變數
neighborhood,附近
wet,濕
logic,邏輯
prince,王子
psychology,心理學
edward,愛德華
responses,反應
circumstances,情況下
tony,托尼
atlantic,大西洋
concerning,關於
developers,開發人員
kits,包
thailand,泰國
anywhere,無論何處
grants,撥款
tracks,軌道
investor,投資者
sponsors,贊助商
iran,伊朗
